City,Name,Nosah,Address
עיר,שם,נוסח,"כתובת
"
אבן יהודה,בית מנחם-חב´´ד,חבד,"המיסדים  41
"
אבן יהודה,ותיקים,אחיד,"המעפילים  12
"
אונו קרית אונו,צעירי ישראל,אשכנז,"שלמה המלך 28
"
אופקים,חבד,חבד,"מישור הגפן התמר  2
"
אופקים,עש הריף,,"יגאל אלון 9
"
אור יהודה,אהבת חיים,ירושלמי,"ז´ בוטיסקי 19
"
אורנית ישוב,היכל משה,אחיד,"הזית 67
"
אזור,בית חבד,חבד,"יצחק שדה 2
"
אזור,עץ חיים,ירושלמי,"יצחק    שדה 9
"
אילת,בית חבד,חבד," רודד 6
"
אילת,הישיבה התיכונית,לפי החזן,"איצטדיון 24
"
אילת,חבד שחמון,חבד,"נחל זרחן 6
"
אילת,ישיבת איילת השחר,לפי החזן,"ששת הימים 180
"
אילת,מאור החיים,ירושלמי,"שדרות התמרים 55
"
אילת,מלון ישרוטל המלך שלמה,לפי החזן,"דרך החוף הצפוני  8000
"
אלעד, חניכי הישיבות קהילת חפץ חיים,אשכנז,"חוני המעגל 9
"
אלעד,אור לציון,ירושלמי,"חוני המעגל 1
"
אלעד,בית יוסף,ירושלמי,"שמעון הצדיק 21
"
אלעד,בית מאיר,ירושלמי,"שמעון הצדיק 18
"
אלעד,בית מנחם חבד ליובאוויטש,חבד,"אבטליון 11
"
אלעד,ברסלב-שאירת ישראל,חסידי,"הראש  1
"
אלעד,ויז´ניץ,חסידי,"יוסף קארו 5
"
אלעד,זכור לאברהם,לפי החזן,"רבי יהודה הנשיא 9
"
אלעד,חניכי הישיבות חפץ חיים,אשכנז,"חוני המעגל  9
"
אלקנה,בית חבד אוהל לאה אלקנה,חבד,"מרכז מסחרי
"
אפרת,אהל שמעון ואסתר,ירושלמי,"נצח ירושלים 4
"
אפרת,אשמורת אברהם,לפי החזן,"המלך דוד  64
"
אפרת,ברכה ושלום,לפי החזן,"שאלתיאל 24
"
אפרת,זמר הזית,לפי החזן,"זית שמן  1
"
אפרת,מגן אברהם,לפי החזן,"תמר 2
"
אריאל,אוהל אפרים,,"הנחשונים 37
"
אריאל,אורות אריאל - ימי חול,לפי החזן,"אילות 21
"
אריאל,מוריה,לפי החזן,"עיר יונה 10
"
אריאל,שבות אריאל,לפי החזן,"צהל 30
"
אשקלון,בית הכנסת המרכזי אפרידר,אשכנז,"זונאבנדר 2
"
באר יעקב,חזון איש מנין עמוס,ירושלמי,"חזון איש 8
"
באר שבע,אוהל שרה,,"צביה ויצחק  46
"
באר שבע,אהבה ואחוה,ירושלמי,"כיכר הקינזי 3
"
באר שבע,אוהל יעקב ליוצאי קווקז,,"אבנר בן נר 6
"
באר שבע,אוהל רחל,אשכנז,"אילה 5
"
באר שבע,באר הגאולה,חבד,"גויטיין 9
"
בית אל,כולל מבקשי השם,לפי החזן,"חלמיש 2
"
בית אל,משכן בית-אל,לפי החזן,"התאנה 7
"
בית חנניה,בית הכנסת מושב בית חנניה,לפי החזן,"חלמיש 1
"
בית שמש,אהבת יהונתן־אז ישיר,אשכנז,"נחל לכיש 3
"
בית שמש,אהבת ציון,אשכנז,"נחל תמנה 2
"
בית שמש,אהבת שלום,אשכנז,"נחל לכיש 33
"
בית שמש,אור שלום,,"נחל מאור 27
"
בית שמש,בית הכנסת המרכזי,לפי החזן,"מטע 6
"
בית שמש,בית מדרש תורני לאומי,אשכנז,"אשר 1
"
בית שמש,בית מנחם חבד גבעת שרת,חבד,"הרקפת 8
"
ביתר עלית,אוהל תורה,אשכנז,"ר´ יוסף קארו  4
"
ביתר עלית,אמשינוב,חסידי,"דרכי איש 21
"
ביתר עלית,החידא,ירושלמי,"ברסלב  3
"
ביתר עלית,ויזניץ,חסידי,"קדושת לוי 36
"
ביתר עלית,טוב דעת,אשכנז,"פנים מאירים 13
"
ביתר עלית,עטרת הנחל,,"קעניג 7
"
ביתר עלית,צאנז,חסידי,"פנים מאירים 4
"
ביתר עלית,תפארת אברהם אלימלך,אחיד,"חתם סופר 10 10
"
בני ברק,אשכנז,אשכנז,"יעל 3
"
בני ברק,אברהם,חבד,"אליעזר  2
"
בני ברק,אהל משה ורחל,אשכנז,"פרל 19
"
בני ברק,אוהל דוד,אחיד,"גוטמאכר 5
"
בני ברק,אוהל יעקב ולאה,אשכנז,"הרב פרדו  2
"
בני ברק,אור ברוך,ירושלמי,"בן פתחיה  28
"
בני ברק,איצקוביץ,לפי החזן,"הרב שך  4
"
בנימינה,תפארת בנימין,אשכנז,"קרן היסוד 2
"
בת ים,צדיקי מרוקו ,לפי החזן,"גבעתי 6
"
בת ים,אהבה ואחווה,ירושלמי,"ניצנה  16
"
בת ים,אור הגאולה,אשכנז,"רח העבודה 27 27
"
בת ים,אחדות בני ישראל,,"ירושלים 42
"
בת ים,באבוב,חסידי,"האדמור מבאבוב 12
"
בת ים,בית עובדיה,ירושלמי,"יוספטל 78
"
גבעת זאב,בית הכנסת משכן יוסף,לפי החזן,"מצפה  9
"
גבעת זאב,מורשת מנחם-חבד,חבד,"מיצפה  9
"
גבעת זאב,מורשת מנחם-חבד,חבד,"מיצפה  9
"
גבעת זאב,מניין צעירי חבד,חבד,"התאנה  4
"
גבעת שמואל,קהל חסידים,חסידי,"סמטת מגדל המים 1
"
גבעת שמואל,בית אל,ירושלמי,"הנשיא 12
"
גבעת שמואל,בית מתיתיהו-אור יעקב,אשכנז,"נימרובר 2
"
גבעת שמואל,בנין סימטרון,לפי החזן,"גוש עציון 11
"
גבעת שמואל,חפץ חיים,אשכנז,"ביאליק 36
"
גבעתים,אוהל משה,אשכנז,"גורדון 6
"
גבעתים,אוהל ש״מ- אשכנזי,אשכנז,"פועלי הרכבת 4
"
גבעתים,אמוני מרדכי,אשכנז,"צהל 7
"
גבעתים,בית -אל,,"ישראל טייבר 57
"
גבעתים,בית שטפנשט,אחיד,"רמב´´ם  1
"
גבעתים,הפניקס,לפי החזן,"דרך השלום  53
"
גבעתים,זכרון קדושים,,"סמטת קיבוץ גלויות  8
"
גדרה,בית הכנסת הקהילתי גדרה הצעירה,אשכנז,"מנחם בגין 51
"
גדרה,חבד,חבד,"יסמין 24
"
גדרה,ישורון,אשכנז,"בילויים  24
"
גני תקוה,בית חבד,חבד,"הרי יהודה   33
"
גשר הזיו,סולם יעקב,אחיד,"במקלט ליד המועדון 1
"
גת רמון,בית הכנסת המרכזי גת רימון,לפי החזן,"האילנות 30
"
דימונה,בית יהושע,אשכנז,"יגאל אלון פינת בבא סאלי 110
"
הוד השרון,אריאל,לפי החזן,"מבצע קדש 2
"
הוד השרון,בית כנסת בניין מיקרוסמי - קומה 1,לפי החזן," החרש 29
"
הוד השרון,הדר,אשכנז," דרך כפר הדר 40
"
הרצליה,אגודת אחים,אשכנז,"עצמאות 78
"
הרצליה,אהבת ישראל,לפי החזן,"ברחוב וינגייט 90
"
הרצליה,אור החיים,לפי החזן,"הר סיני 34
"
הרצליה,אחדות,אשכנז,"הכוזרי 3
"
הרצליה,ביזנס פארק,לפי החזן,"משכית 8
"
הרצליה,בית הכנסת הגדול,אשכנז,"סוקולוב 30
"
הרצליה,בית חבד אזור התעשיה,חבד,"משכית 22
"
הרצליה,בית יוליאנה,אשכנז,"בית אבות
"
זכרון יעקב,אוהל יעקב,אשכנז,"הנדיב  19
"
זכרון יעקב,חב´´ד,חבד,"אליהו חכים 3
"
זכרון יעקב,מועד,אשכנז,"המייסדים 100
"
זכרון יעקב,רשבי,ירושלמי,"שבי ציון  1
"
חדרה,בית אל,,"השרון 10
"
חדרה,בית חבד חדרה,חבד,"הגיבורים 68
"
חדרה,בית חבד לדוברי צרפתית,חבד,"הגיבורים 68
"
חדרה,בית כנסת חבד - כולל חבד,חבד,"הנשיא 31
"
חדרה,בית כנסת חבד המרכזי,חבד,"הגיבורים 68
"
חדרה,הגדול, נחליאל,תימן שאמי,"הגיבורים 126
"
חדרה,חבד וילג',חבד,"שכטמן 10 (קניון מול החוף
"
חיפה,אהבת תורה- ויזניץ,חסידי,"מיכאל 1
"
חיפה,אוהל אברהם,אשכנז,"בית אל 22
"
חיפה,אור הכרמל,ירושלמי,"שער הלבנון  4
"
חיפה,בית הכנסת כרמל המערבי,אחיד,"אילנות 18
"
חשמונאים,חסדי ה,ירושלמי,"המהריץ 3
"
טבריה,בית כנסת חבד המרכזי,חבד,"רשי 7
"
טבריה,העתיק,חבד,"הבנים 1
"
טירת הכרמל,חבד,חבד,"אליאס 18
"
טירת הכרמל,מנחה בלבד בבניין האדום של ג'נרל אלקטריק,לפי החזן,"יוזמה 1 בבניין האדום של ג'נרל אלקטריק
"
טירת הכרמל,מניין עובדים- במשרד א.ב אדריכלים,לפי החזן,"האתגר 3
"
טירת הכרמל,מעיין חיים,ירושלמי,"ז´בוטינסקי 2
"
יבנה,אור ציון ובית שמשון,ירושלמי,"סביון  2
"
יבניאל,היכל הקודש חסידי ברסלב,אחיד,"רבי נחמן מברסלב 1
"
יד בנימין,פעמוני זהב ,לפי החזן,"רחוב האשל 18מתחם דור-אלון
"
יהוד,בית הכנסת של כולם,חבד,"דרך החורש 4
"
יטב,מבואות יריחו,לפי החזן,"הרב כהנא 18
"
יסוד המעלה,משיח גן ישראל ,חבד,"הוורדים 2
"
יפו,בית ישראל,אשכנז,"הבעל שם טוב 4
"
יפו,ישיבת מה יפו פעמייך,אחיד,"טולוז  16
"
יקנעם עילית,אחוות אחים,ירושלמי,"המיצר 1
"
ירוחם,ישיבת אמית בלבב שלם,לפי החזן,"אליהו הנביא 1
"
ירוחם,ישיבת ההסדר,אחיד,"אליהו הנביא  1
"
ירוחם,קהילה חרדית,אשכנז,"בכולל 1
"
ירושלים, אבוא ביתך,ירושלמי,"זאב חקלאי 4
"
ירושלים,אשר,ירושלמי,"יהודה {פינת  פיר קניק  44
"
ירושלים,יד-אביישראל הצעיר,אשכנז,"בורוכוב קרית היובל 63
"
ירושלים,אגודת אחים,,"זולטי 6
"
ירושלים,אדמון ספרא,ירושלמי,"שמואל יפה 6
"
ירושלים,אדרת אליהו,אשכנז,"התאנה 1
"
ירושלים,אדרת אליהו,אשכנז,"התאנה 1
"
ירושלים,אהבת ישראל,חבד,"כפר עציון 8
"
ירושלים,אהבת ישראל,,"מעבר המתלה 5
"
ירושלים,אהל אבות,ירושלמי,"אריה אלטמן פסגת זאב מרכז 1
"
כוכב השחר,שירת יונדב,לפי החזן,"מעוז-אסתר 2
"
כוכב יעקב,ישיבת ההסדר היכל אליהו,לפי החזן,"תורה מציון 1
"
כוכב יעקב,תומר דבורה,חסידי," חסדי אבות 60
"
כפר יונה,ג´אנח ובניו,לפי החזן,"הקבלן  3
"
כפר סבא,אוהב צדק,ירושלמי,"ויצמן 204
"
כפר סבא,המניין החדש,אשכנז,"י´ כהן 4
"
כפר שמריהו,היכל הבנים,אשכנז,"דרך הגנים  38
"
כפר תפוח,חבד,חבד,"הדר 264
"
כרמיאל,אהבת חינם,אחיד,"בציר  39
"
כרמיאל,בית הכרם,אשכנז,"שיזף 4
"
כרמיאל,ישיבת ההסדר כרמיאל,לפי החזן,"בירנית 1
"
כרמיאל,מאור גליל,אשכנז,"נתיב הלוטוס 3
"
כרמיאל,מתן נחליאל,אחיד,"חטיבת הראל 34
"
לוד,אלון (בנק לאומי),לפי החזן,"יודפת 1ב
"
לוד,דתי לאומי נוה נוף,אשכנז,"חיים משה שפירא 1
"
מבשרת ציון,בית הכנסת המרכזי עין חמד,ירושלמי,"המור 1
"
מבשרת ציון,בית הכנסת חבד מבשרת ציון,חבד,"הרקפת 9 מבשרת ציון
"
מבשרת ציון,חבד קסטל,חבד,"החוצבים 4 קומה ב´
"
מבשרת ציון,מורשת הראה,אשכנז,"ברוש 70
"
מגדל העמק,חבד,חבד,"מירון 3
"
מגדל העמק,חבד נוף העמק,חבד,"נוף העמק 4
"
