City,Name,Nosah,Address
אביבים,בני איילו,עדות המזרח,"גני  שמש 5
"
אבן יהודה,המרכזי,ספרד,"המייסדים 68
"
אבן יהודה,נווה צדק,תימן שאמי,"הנביאים 3 1
"
אבן יהודה,שערי צדק,תימן,"מרבד הקסמים  31
"
אבן יהודה,תפארת ישראל,תימן,"הבנים 69
"
אדם,אהבת אדם,עדות המזרח,"שדרות אדם 61
"
אונו קרית אונו,אליהו הנביא,יוצאי לוב (טריפוליטאים),"לוס אנגלס 4
"
אונו קרית אונו,בית הכנסת המרכזי,ספרד,"וינגייט 22
"
אונו קרית אונו,יד הרמבם,תימן בלדי,"לוס אנג´לס 28
"
אונו קרית אונו,שיבת ציון,תימן בלדי,"רח´ שיבת ציון 6
"
אופקים,אוהל אברהם ושרה,עדות המזרח,"גיבורי ישראל 1008
"
אופקים,התימנים,תימן,"צהל 3
"
אופקים,מבצע שלמה,עדות המזרח,"הכרמים 45
"
אור יהודה,משכן שמעיה,עדות המזרח,"ברחוב יוסף קארו 3
"
אור יהודה,אוהל משה ומשכן יצחק,עדות המזרח,"יקותיאל אדם 33
"
אור יהודה,אור התורה אבו יחזקאל,ספרד,"הרב עובדיה יוסף 25
"
אור יהודה,אלי -כהן,עדות המזרח,"בן פורת (ההגנה)
"
אור יהודה,בית הכנסת המרכזי לעולי בוכרה,ספרד,"ז´בוטינסקי 32
"
אור יהודה,בית יעקב,עדות המזרח,"אסירי ציון  9
"
אור יהודה,בן איש חי,עדות המזרח,"הרצל 56
"
אור יהודה,גאולי ה´ עולי גרוזיה,עדות המזרח,"ז´בוטינסקי  16
"
אור יהודה,היכל יצחק דוד,עדות המזרח,"דוד אלעזר 10
"
אור יהודה,היכל שמואל,עדות המזרח,"שרת 11
"
אור יהודה,יחזקאל צדוק יל,עדות המזרח,"ספיר שכונת נוה סביון  7
"
אור יהודה,כתר מנחם,עדות המזרח,"יקותיאל אדם 31
"
אור יהודה,מצלאוי,ספרד,"ניצן 3
"
אור יהודה,משכן שמעון,יוצאי לוב (טריפוליטאים),"אסירי ציון 9
"
אור יהודה,נווה שלום,עדות המזרח,"יקותיאל אדם  31
"
אור עקיבא,עזרת אחים,עדות המזרח,"הרצל 22
"
אור עקיבא,שיח יצחק,מרוקו,"הגבורים 10
"
אורנית ישוב,חברנו,ספרד,"הורד 10
"
אזור,ציונוב - בית יוסף ונתן,עדות המזרח,"ירושלים 143
"
אזור,בית הכנסת עש שבזי,תימן,"שד בן גוריון  36
"
אזור,הדרת מלך,עדות המזרח,"וייצמן 3
"
אזור,הפועל המזרחי,ספרד,"יצחק שדה 2
"
אזור,שערי ירושלים,עדות המזרח,"ירושלים 59
"
אזור,שערי ציון-הכיפות,עדות המזרח,"שפינוזה  2
"
אחיהוד,שלוחי חבד,תימן,"השכונה החדשה 7
"
אחיעזר,שערי צדק,תימן שאמי,"הדקל 100
"
אילת,חזון עובדיה,עדות המזרח,"זהרון (מעל מרכז עינת) 11
"
אילת,חסד לאברהם,עדות המזרח,"לוס אנג'לס 5
"
אילת,ישורון,עדות המזרח,"המלחה 13
"
אילת,נצח ישראל,עדות המזרח,"נבו 24
"
אליקים,בית כנסת,תימן,"מושב קטן עם 7 בתי כנסת. להכנס ולשאול איפה
"
אלישמע,אוהל יעקב,יוצאי לוב (טריפוליטאים),"האילנות 87
"
אלעד,אחוות אחים,תימן שאמי,"רבי פנחס בן יאיר 22
"
אלעד,בית מאור,מרוקו,"אבן גבירול 20
"
אלעד,חסד לאברהם - אור החיים,עדות המזרח,"אבטליון 11
"
אלפי מנשה,אבא-שמעון,עדות המזרח,"אודם 6
"
אלקנה,אשל אלקנה,ספרד,"גבעת הלבונה 7
"
אפרת,אור חביב,מרוקו,"המלך דוד דקל ג 72
"
אפרת,אורות הזית,עדות המזרח,"יהודה המכבי 8 אפרת
"
אריאל,אביר יעקב,ספרד,"יודפת 10
"
אריאל,אוהל יוסף,עדות המזרח,"הפיסגה 10
"
אריאל,אחוות אחים,תימן שאמי,"הפיסגה 10
"
אריאל,עמותת הרמבם בית כנסת אוהל חנה,תימן,"ברק  19
"
אריאל,תפארת אריאל,תימן,"השומרון  1
"
אשדוד,אדר היקר הרב זיני,מרוקו,"שבי ציון 14אזור א
"
אשדוד,אהבה ואחווה לעולי מצרים,ספרד,"הראשונים  41
"
אשדוד,אהבת ישראל עש ר´ ראובן פינטו,מרוקו,"הגולשים 26
"
אשדוד,אהל יעקב,ספרד,"המעפילים  39
"
אשדוד,אוהל אהרון וחנה,עדות המזרח,"הצבעוני  2
"
אשדוד,אור יצחק- נוסח גרוזיה,עדות המזרח,"הציונות 10
"
אשדוד,אחוות ישראל אשדוד עש ר' מאיר אבוחצירא,מרוקו,"כנרת 67
"
אשקלון,משכן אביחי ,תימן בלדי,"לכיש 16
"
אשקלון,אביר יעקב יאיר,עדות המזרח,"הרב כלפון משה הכהן  5
"
אשקלון,אהבת אחים,עדות המזרח,"הציונות 72 72
"
אשקלון,אהבת ציון,תימן שאמי,"אבן עזרא  6
"
אשקלון,אהבת תורה,עדות המזרח," 11
"
אשקלון,אוהל משה,עדות המזרח,"ההסיתדרות 98
"
אשקלון,בית אליהו,עדות המזרח,"הטייסים 91
"
אשקלון,בית הכנסת לצעירים סניף בני עקיבא אפרידר,עדות המזרח,"אורט 13
"
אשקלון,בית הרב,עדות המזרח,"חוגלה 9
"
אשקלון,בני ציון,יוצאי לוב (טריפוליטאים),"ביאליק 12
"
