City,Name,Nosah,Address,Latitude,Longitude,Navigate
אבן יהודה,בית מנחם-חב´´ד,חבד,"המיסדים  41
",32.2692212,34.89067910000001,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2692212%2C34.89067910000001
אבן יהודה,ותיקים,אחיד,"המעפילים  12
",32.2608949,34.8883995,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2608949%2C34.8883995
אונו קרית אונו,צעירי ישראל,אשכנז,"שלמה המלך 28
",32.0544774,34.8611589,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0544774%2C34.8611589
אופקים,חבד,חבד,"מישור הגפן התמר  2
",31.311245,34.610359,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.311245%2C34.610359
אופקים,עש הריף,,"יגאל אלון 9
",31.313031,34.623266,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.313031%2C34.623266
אור יהודה,אהבת חיים,ירושלמי,"ז´ בוטיסקי 19
",32.0279815,34.8637712,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0279815%2C34.8637712
אורנית ישוב,היכל משה,אחיד,"הזית 67
",32.1364682,34.9893197,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1364682%2C34.9893197
אזור,בית חבד,חבד,"יצחק שדה 2
",32.025505,34.808183,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.025505%2C34.808183
אזור,עץ חיים,ירושלמי,"יצחק    שדה 9
",32.024446,34.810116,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.024446%2C34.810116
אילת,בית חבד,חבד," רודד 6
",29.5619544,34.9487125,https://www.waze.com/live-map/directions?navigate=yes&to=ll.29.5619544%2C34.9487125
אילת,הישיבה התיכונית,לפי החזן,"איצטדיון 24
",29.5633041,34.9406279,https://www.waze.com/live-map/directions?navigate=yes&to=ll.29.5633041%2C34.9406279
אילת,חבד שחמון,חבד,"נחל זרחן 6
",29.5436388,34.9344643,https://www.waze.com/live-map/directions?navigate=yes&to=ll.29.5436388%2C34.9344643
אילת,ישיבת איילת השחר,לפי החזן,"ששת הימים 180
",29.5587523,34.9394981,https://www.waze.com/live-map/directions?navigate=yes&to=ll.29.5587523%2C34.9394981
אילת,מאור החיים,ירושלמי,"שדרות התמרים 55
",29.5646884,34.9504041,https://www.waze.com/live-map/directions?navigate=yes&to=ll.29.5646884%2C34.9504041
אילת,מלון ישרוטל המלך שלמה,לפי החזן,"דרך החוף הצפוני  8000
",29.551181,34.965207,https://www.waze.com/live-map/directions?navigate=yes&to=ll.29.551181%2C34.965207
אלעד, חניכי הישיבות קהילת חפץ חיים,אשכנז,"חוני המעגל 9
",32.0537329,34.9464634,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0537329%2C34.9464634
אלעד,אור לציון,ירושלמי,"חוני המעגל 1
",32.0527902,34.9454943,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0527902%2C34.9454943
אלעד,בית יוסף,ירושלמי,"שמעון הצדיק 21
",32.0469779,34.9634149,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0469779%2C34.9634149
אלעד,בית מאיר,ירושלמי,"שמעון הצדיק 18
",32.0471489,34.96214,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0471489%2C34.96214
אלעד,בית מנחם חבד ליובאוויטש,חבד,"אבטליון 11
",32.047281,34.9492579,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.047281%2C34.9492579
אלעד,ברסלב-שאירת ישראל,חסידי,"הראש  1
",32.04953,34.95075,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.04953%2C34.95075
אלעד,ויז´ניץ,חסידי,"יוסף קארו 5
",32.048749,34.9642672,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.048749%2C34.9642672
אלעד,זכור לאברהם,לפי החזן,"רבי יהודה הנשיא 9
",32.0524677,34.94692879999999,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0524677%2C34.94692879999999
