Name,Latitude,Longitude,Navigate
"ירדנית
",32.7109379,35.5708638,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.7109379%2C35.5708638
"حقل الرعاة
",31.7070704,35.2298841,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.7070704%2C35.2298841
"Al Qides Yohanna
",32.2236544,35.2418619,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2236544%2C35.2418619
"Al Lateen Church
",31.9538347,35.3003997,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.9538347%2C35.3003997
"Jawer Jyos Church
",31.9533671,35.298725,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.9533671%2C35.298725
"Diwan Almu'alem Musa church
",31.906991,35.1429857,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.906991%2C35.1429857
"Jawarjious Church
",32.3871394,35.3245212,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.3871394%2C35.3245212
"
",31.7828963,35.2406918,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.7828963%2C35.2406918
"Chapel of Terra Sancta
",31.7744108,35.2180579,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.7744108%2C35.2180579
"Church of Loaves and Fishes
",32.8734204,35.5493824,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.8734204%2C35.5493824
"دير أخوة الصغير يسوع
",32.6990233,35.2960529,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.6990233%2C35.2960529
"Domus Galilaeae
",32.9020738,35.5519829,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.9020738%2C35.5519829
"الكنيسة اليونانية الكاثوليكية اليونانية
",32.745025,35.3383269,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.745025%2C35.3383269
"كنيسة كنا الكاثوليكية الزفاف
",32.7474252,35.3384044,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.7474252%2C35.3384044
"Chapelle Saint Vincent de Paul
",31.7780616,35.2246064,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.7780616%2C35.2246064
"איקרית
",33.0756008,35.2751632,https://www.waze.com/live-map/directions?navigate=yes&to=ll.33.0756008%2C35.2751632
"كنيسة المجمع
",32.7034589,35.2968556,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.7034589%2C35.2968556
"Church of the Pater Noster
",31.7780444,35.2448452,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.7780444%2C35.2448452
"Our Lady Woman Of Valor Church
",32.055038,34.7781423,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.055038%2C34.7781423
"كنيسة أم الآلام
",32.0180639,35.0685763,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0180639%2C35.0685763
"
",32.9774401,35.3367518,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.9774401%2C35.3367518
"كنيسة الروم الكاثوليك - إعبلين
",32.8214997,35.1935159,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.8214997%2C35.1935159
"Holy Family Church
",31.5239183,34.452234,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5239183%2C34.452234
"our lady of baram
",33.043476,35.4141286,https://www.waze.com/live-map/directions?navigate=yes&to=ll.33.043476%2C35.4141286
