Name,Latitude,Longitude,Navigate
"Mu'ath ibn jabal mosque
",32.4451596,35.1751336,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4451596%2C35.1751336
"Al Shaheed Basel Mosque
",32.4493896,35.1639813,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4493896%2C35.1639813
"Al Noor Mosque
",32.4505577,35.1693014,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4505577%2C35.1693014
"Al Kasem Mosque
",32.4471765,35.1691808,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4471765%2C35.1691808
"North Neighborhood Mosque
",32.4466526,35.168523,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4466526%2C35.168523
"Abd Alrahman Ben Awf
",32.3282981,35.3624301,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.3282981%2C35.3624301
"Al Marhoum Ammar Mahameed Mosque
",32.276503,35.3902639,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.276503%2C35.3902639
"Abo Baker Alsedeq
",32.287299,35.3851333,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.287299%2C35.3851333
"Al Shahed Mosque
",32.2851347,35.379714,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2851347%2C35.379714
"Mosque
",32.2832692,35.3863304,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2832692%2C35.3863304
"Mosque
",32.3252616,35.3668518,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.3252616%2C35.3668518
"Mosque
",32.2774968,35.3839848,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2774968%2C35.3839848
"Mosque
",32.3253129,35.3664132,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.3253129%2C35.3664132
"Khalid Bin Al Walied Mosque
",32.2815209,35.3860505,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2815209%2C35.3860505
"Mosque
",32.3217496,35.3685393,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.3217496%2C35.3685393
"Mosque
",32.2833244,35.383842,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2833244%2C35.383842
"Al-Tawheed Mosque
",32.4834765,35.2311257,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4834765%2C35.2311257
"Alzahra' Mosque
",32.402767,35.278788,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.402767%2C35.278788
"Zaid Ben Haretha Mosque
",32.378518,35.2156618,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.378518%2C35.2156618
"Alqadeem Mosque
",32.3241741,35.2216611,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.3241741%2C35.2216611
"Zaid Ben Haretha Mosque
",32.449123,35.1309187,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.449123%2C35.1309187
"Al Judeida Mosque
",32.3340322,35.303511,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.3340322%2C35.303511
"Araba Mosque
",32.40476,35.2015979,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.40476%2C35.2015979
"Beit Qad Mosque
",32.4690905,35.3567169,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4690905%2C35.3567169
"Abu Baker Mosque
",32.3272785,35.2151803,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.3272785%2C35.2151803
"Marah Mosque
",32.4514768,35.3004083,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4514768%2C35.3004083
"Old Mosque
",32.4597161,35.4143982,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4597161%2C35.4143982
"Sarah Mosque
",32.4064588,35.2111114,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4064588%2C35.2111114
"Al kaber Mosque
",32.4851029,35.2303301,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4851029%2C35.2303301
"Al Arkam Mosque
",32.4861501,35.2354128,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4861501%2C35.2354128
"Jalbun Mosque
",32.4596863,35.4146421,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4596863%2C35.4146421
"Al Ess Mosque
",31.5835206,35.1436115,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5835206%2C35.1436115
"مسجد عصيرة
",31.6188999,35.1112553,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.6188999%2C35.1112553
"مسجد باب الزاوية
",31.5271549,35.1030912,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5271549%2C35.1030912
"مسجد الرحمن
",31.5591301,35.1000863,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5591301%2C35.1000863
"Abu Johar Mosque
",32.405043,35.2028547,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.405043%2C35.2028547
"Zaid Ibn Haretha Mosque
",32.3871524,35.2868555,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.3871524%2C35.2868555
"مسجد عبد الله عزام
",31.6249811,35.1351576,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.6249811%2C35.1351576
"مسجد الرحمة
",32.4506058,35.2902904,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.4506058%2C35.2902904
"Almustafa mosque
",32.3295654,35.2251202,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.3295654%2C35.2251202
"Amer Mosque
",32.400913,35.2099468,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.400913%2C35.2099468
"مسجد المأمون
",31.4486129,35.1050137,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.4486129%2C35.1050137
