City,Name,Nosah,Address,Latitude,Longitude,Navigate
אביבים,בני איילו,עדות המזרח,"גני  שמש 5
",33.090095,35.470221,https://www.waze.com/live-map/directions?navigate=yes&to=ll.33.090095%2C35.470221
אבן יהודה,המרכזי,ספרד,"המייסדים 68
",32.2696664,34.8873981,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2696664%2C34.8873981
אבן יהודה,נווה צדק,תימן שאמי,"הנביאים 3 1
",32.2973425,34.8541837,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2973425%2C34.8541837
אבן יהודה,שערי צדק,תימן,"מרבד הקסמים  31
",32.2812306,34.8854063,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2812306%2C34.8854063
אבן יהודה,תפארת ישראל,תימן,"הבנים 69
",32.2812536,34.8790658,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2812536%2C34.8790658
אדם,אהבת אדם,עדות המזרח,"שדרות אדם 61
",31.8501944,35.2809013,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.8501944%2C35.2809013
אונו קרית אונו,אליהו הנביא,יוצאי לוב (טריפוליטאים),"לוס אנגלס 4
",32.0636575,34.8580742,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0636575%2C34.8580742
אונו קרית אונו,בית הכנסת המרכזי,ספרד,"וינגייט 22
",32.0621487,34.853837,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0621487%2C34.853837
אונו קרית אונו,יד הרמבם,תימן בלדי,"לוס אנג´לס 28
",32.0636412,34.8601963,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0636412%2C34.8601963
אונו קרית אונו,שיבת ציון,תימן בלדי,"רח´ שיבת ציון 6
",32.065427,34.859593,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.065427%2C34.859593
אופקים,אוהל אברהם ושרה,עדות המזרח,"גיבורי ישראל 1008
",31.3101829,34.6183484,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.3101829%2C34.6183484
אופקים,התימנים,תימן,"צהל 3
",31.3120968,34.6191809,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.3120968%2C34.6191809
