עיר,שם,נוסח,כתובת
אביבים,בני איילו,עדות המזרח,גני  שמש 5
אבן יהודה,בית מנחם-חב´´ד,"חב""ד",המיסדים  41
אבן יהודה,המרכזי,ספרד,המייסדים 68
אבן יהודה,ותיקים,אחיד,המעפילים  12
אבן יהודה,נווה צדק,תימן שאמי,הנביאים 3 1
אבן יהודה,שערי צדק,תימן,מרבד הקסמים  31
אבן יהודה,תפארת ישראל,תימן,הבנים 69
אדם,אהבת אדם,עדות המזרח,שדרות אדם 61
אונו קרית אונו,אליהו הנביא,יוצאי לוב (טריפוליטאים),לוס אנגלס 4
אונו קרית אונו,בית הכנסת המרכזי,ספרד,וינגייט 22
אונו קרית אונו,"יד הרמב""ם",תימן בלדי,לוס אנג´לס 28
אונו קרית אונו,צעירי ישראל,אשכנז,שלמה המלך 28
אונו קרית אונו,שיבת ציון,תימן בלדי,רח´ שיבת ציון 6
אופקים,אוהל אברהם ושרה,עדות המזרח,גיבורי ישראל 1008
אופקים,התימנים,תימן,"צה""ל 3"
אופקים,חבד,"חב""ד",מישור הגפן התמר  2
אופקים,מבצע שלמה,עדות המזרח,הכרמים 45
אופקים,"ע""ש הרי""ף",,יגאל אלון 9
אור יהודה,"""משכן שמעיה""",עדות המזרח,ברחוב יוסף קארו 3
אור יהודה,אהבת חיים,ירושלמי,ז´ בוטיסקי 19
אור יהודה,אוהל משה ומשכן יצחק,עדות המזרח,יקותיאל אדם 33
אור יהודה,אור התורה אבו יחזקאל,ספרד,הרב עובדיה יוסף 25
אור יהודה,אלי -כהן,עדות המזרח,בן פורת (ההגנה)
אור יהודה,בית הכנסת המרכזי לעולי בוכרה,ספרד,ז´בוטינסקי 32
אור יהודה,בית יעקב,עדות המזרח,אסירי ציון  9
אור יהודה,בן איש חי,עדות המזרח,הרצל 56
אור יהודה,גאולי ה´ עולי גרוזיה,עדות המזרח,ז´בוטינסקי  16
אור יהודה,היכל יצחק דוד,עדות המזרח,דוד אלעזר 10
אור יהודה,היכל שמואל,עדות המזרח,שרת 11
אור יהודה,יחזקאל צדוק יל,עדות המזרח,ספיר שכונת נוה סביון  7
אור יהודה,כתר מנחם,עדות המזרח,יקותיאל אדם 31
אור יהודה,מצלאוי,ספרד,ניצן 3
אור יהודה,משכן שמעון,יוצאי לוב (טריפוליטאים),אסירי ציון 9
אור יהודה,נווה שלום,עדות המזרח,יקותיאל אדם  31
אור עקיבא,עזרת אחים,עדות המזרח,הרצל 22
אור עקיבא,שיח יצחק,מרוקו,הגבורים 10
אורנית ישוב,היכל משה,אחיד,הזית 67
אורנית ישוב,חברנו,ספרד,הורד 10
אזור,"""ציונוב"" - בית יוסף ונתן",עדות המזרח,ירושלים 143
אזור,"בית הכנסת ע""ש שבזי",תימן,שד בן גוריון  36
אזור,"בית חב""ד","חב""ד",יצחק שדה 2
אזור,הדרת מלך,עדות המזרח,וייצמן 3
אזור,הפועל המזרחי,ספרד,יצחק שדה 2
אזור,עץ חיים,ירושלמי,יצחק    שדה 9
אזור,שערי ירושלים,עדות המזרח,ירושלים 59
אזור,שערי ציון-הכיפות,עדות המזרח,שפינוזה  2
אחיהוד,"שלוחי חב""ד",תימן,השכונה החדשה 7
אחיעזר,שערי צדק,תימן שאמי,הדקל 100
אילת,"בית חב""ד","חב""ד", רודד 6
אילת,הישיבה התיכונית,לפי החזן,איצטדיון 24
אילת,חבד שחמון,"חב""ד",נחל זרחן 6
אילת,חזון עובדיה,עדות המזרח,"זהרון (מעל ""מרכז עינת"") 11"
אילת,חסד לאברהם,עדות המזרח,לוס אנג'לס 5
אילת,ישורון,עדות המזרח,המלחה 13
אילת,ישיבת איילת השחר,לפי החזן,ששת הימים 180
אילת,מאור החיים,ירושלמי,שדרות התמרים 55
אילת,מלון ישרוטל המלך שלמה,לפי החזן,דרך החוף הצפוני  8000
אילת,נצח ישראל,עדות המזרח,נבו 24
אליקים,בית כנסת,תימן,מושב קטן עם 7 בתי כנסת. להכנס ולשאול איפה
אלישמע,אוהל יעקב,יוצאי לוב (טריפוליטאים),האילנות 87
אלעד, חניכי הישיבות קהילת חפץ חיים,אשכנז,חוני המעגל 9
אלעד,אור לציון,ירושלמי,חוני המעגל 1
אלעד,אחוות אחים,תימן שאמי,רבי פנחס בן יאיר 22
אלעד,בית יוסף,ירושלמי,שמעון הצדיק 21
אלעד,בית מאור,מרוקו,אבן גבירול 20
אלעד,בית מאיר,ירושלמי,שמעון הצדיק 18
אלעד,"בית מנחם חב""ד ליובאוויטש","חב""ד",אבטליון 11
אלעד,ברסלב-שאירת ישראל,חסידי,"הרא""ש  1"
אלעד,ויז´ניץ,חסידי,יוסף קארו 5
אלעד,זכור לאברהם,לפי החזן,רבי יהודה הנשיא 9
