X,Y,osm_id,code,fclass,name
35.5708638,32.7109379,"251487100","3102",christian_catholic,ירדנית
34.8765959,32.3101859,"268161833","3200",jewish,
34.9107432,32.4862768,"270417963","3200",jewish,בית הכנסת היכל נעמי
35.2293787,31.7761998,"291872774","3300",muslim,مسجد اليعقوبي
34.8154756,32.1724632,"292464835","3200",jewish,
34.8791165,32.3141395,"305478462","3200",jewish,בית הכנסת ישמח משה
34.8431954,32.1667968,"305625740","3200",jewish,בית הכנסת הגדול
35.2302762,31.7840007,"329348517","3100",christian,גן הקבר
34.8734134,31.9246192,"330375813","3300",muslim,
35.2186055,31.7802817,"343668733","3200",jewish,מוזיאון יהדות איטליה
34.7710672,32.0804879,"344878972","3200",jewish,
35.2194112,31.7031511,"431623957","3300",muslim,جامع عمر بن الخطاب
35.2201402,31.7025302,"431623960","3106",christian_orthodox,كنيسة الآباء والأجداد للروم الأرثوذكس
35.1858454,31.7156983,"431624407","3100",christian,Bait Ibrahim Church
35.1862701,31.7162574,"431624424","3300",muslim,Beit Jala Mosque
35.2298841,31.7070704,"431624550","3102",christian_catholic,حقل الرعاة
35.222106,31.7101283,"431624670","3100",christian,كنيسة مار سابا
35.1977966,31.7120598,"431624922","3100",christian,Al-me'madaneya Church
35.1612545,31.7033859,"431625151","3100",christian,Al-Khader Church
35.1617589,31.7033688,"431625153","3300",muslim,Mosque
35.1634664,31.6971096,"431625157","3300",muslim,Al-Khader Mosque
35.1853487,31.6876676,"431626328","3100",christian,Convent
35.1723831,31.7268626,"431626567","3100",christian,Cramisan Convent
35.2462504,31.7024124,"431626736","3300",muslim,مسجد القعقاع بن عمرو
35.1994203,31.7043936,"431628837","3100",christian,دير راهبات الكرمل
35.1837953,31.7015511,"431628954","3300",muslim,Al_Kholafa' Al_rashideen Mosque
35.2726629,31.7124809,"431629337","3300",muslim,Al-Obaydiah Mosque
35.2745449,31.7179744,"431629351","3300",muslim,Al-Noor Mosque
35.2828885,31.721141,"431629353","3100",christian,Church
35.1753492,31.6987243,"431629435","3300",muslim,Zaid Ebn Thabet Mosque
35.1834647,31.6943501,"431629558","3300",muslim,Dheisheh mosque
35.2182538,31.7035034,"431629741","3100",christian,كنيسة بئر السيدة
35.1674782,31.7281341,"431630300","3300",muslim,Al-Raj'a
35.1801113,31.6937421,"431630788","3300",muslim,Nasr mosque
35.1622089,31.7379545,"431631186","3300",muslim,Al-Noor Mosque
35.1609882,31.7257926,"431631195","3300",muslim,Al-Huda Mosque
35.2649485,31.6960747,"431632000","3300",muslim,Um Al-Qurah
35.2767075,31.6919858,"431632148","3300",muslim,Al-Shuhada' Mosque
35.2659104,31.6913997,"431632294","3300",muslim,Abu- Baker Mosque
35.2677271,31.6854199,"431632374","3300",muslim,Omar Ben Alkhatab Mosque
35.2526768,31.6899661,"431632538","3300",muslim,Abu-Thar Al-Ghafari Moaque
35.2573874,31.674818,"431632773","3300",muslim,Za'tra Al-Kaber Mosque
35.2214424,31.6622824,"431632956","3300",muslim,Al-Zeer Mosque
35.2114465,31.6611359,"431632974","3300",muslim,Hamza ibn Abdel-Mutaleb Mosque
35.1992145,31.6620696,"431632983","3300",muslim,Abu Njeam Mosque
35.2639316,31.6695458,"431633102","3300",muslim,Ebad Al-Rahman Mosque
35.2458007,31.6719017,"431633146","3300",muslim,Mosque
35.141493,31.7185184,"431633176","3300",muslim,Al-Hareeq Mosque
35.1338771,31.7110073,"431633181","3300",muslim,Al-Zawya
35.250222,31.712769,"431633370","3300",muslim,Abdallah Azzam Mosque
35.2745144,31.7177458,"431633388","3300",muslim,Al-Abrar Mosque
35.2825906,31.7211323,"431633406","3100",christian,Ebn-Obaid Convent
35.2857025,31.7172201,"431633414","3300",muslim,Al-Noor Mosque
35.2894941,31.7156997,"431633415","3300",muslim,Al-Takwa Mosque
35.2995219,31.7157761,"431633418","3300",muslim,Mosque
35.2998927,31.7206662,"431633422","3300",muslim,Mosque
35.2896772,31.7246782,"431633425","3300",muslim,Hassan Bin Thabet Mosque
35.274802,31.7052143,"431633448","3300",muslim,Omar Bin Al-Khatab Mosque
35.2813654,31.6980663,"431633451","3300",muslim,Al-Naser Mosque
35.2556318,31.704671,"431633465","3300",muslim,Mosque
35.1173876,31.6835852,"431633599","3300",muslim,Mosque
35.226462,31.640568,"431633731","3300",muslim,Tqo' Mosque
35.2208952,31.6348234,"431633750","3300",muslim,Al-Anssar Mosque
35.16033,31.653883,"431633803","3300",muslim,مسجد أبو بكر صديق
35.1907886,31.6587879,"431633806","3300",muslim,Al-Atqea' Mosque
35.2349068,31.679312,"431634557","3300",muslim,Omar Ben Al-Khatab
35.236568,31.6853787,"431634597","3300",muslim,Al-Da'oa Mosque
35.2313935,31.6848546,"431634598","3300",muslim,Al-Hemri Mosque
35.2206955,31.6773356,"431634879","3300",muslim,Mosque
35.220234,31.6689182,"431634911","3300",muslim,Al-Ansar Mosque
35.2255729,31.6706291,"431634939","3300",muslim,Al-Furqan Mosque
35.1990264,31.7200055,"431635161","3300",muslim,Abu-Baker Al-Sedeeq Mosque
35.1954921,31.7199155,"431635162","3300",muslim,Ahmad Ibn Hanbal Mosque
35.2014106,31.7143861,"431635300","3300",muslim,Al A`zzah Mousqe
35.1861341,31.6888529,"431635658","3300",muslim,Omar Ben Al-Khatab
35.1864584,31.6867449,"431635685","3100",christian,Virgin Mary Convent
35.1751336,32.4451596,"431636905","3301",muslim_sunni,Mu'ath ibn jabal mosque
35.1639813,32.4493896,"431636908","3301",muslim_sunni,Al Shaheed Basel Mosque
35.1693014,32.4505577,"431636917","3301",muslim_sunni,Al Noor Mosque
35.1691808,32.4471765,"431636918","3301",muslim_sunni,Al Kasem Mosque
35.168523,32.4466526,"431636933","3301",muslim_sunni,North Neighborhood Mosque
35.3517277,32.3509999,"431708604","3300",muslim,Bilal Ibn Rabah
35.3624301,32.3282981,"431708618","3301",muslim_sunni,Abd Alrahman Ben Awf
35.3902639,32.276503,"431708621","3301",muslim_sunni,Al Marhoum Ammar Mahameed Mosque
35.3650506,32.326207,"431708626","3106",christian_orthodox,Orthodox church
